name,price,description,shortDescription,category,color,type,images,videos,stockQuantity,isActive,isFeatured
"Premium Perfume 10",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for tho",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4",10,true,false
"Premium Perfume 2",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for tho",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4",10,true,false
"Premium Perfume 3",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for tho",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4",10,true,false
"Premium Perfume 4",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for tho",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4",10,true,false
"Premium Perfume 5",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for tho",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4",10,true,false
"Premium Perfume 6",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for tho",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4",10,true,false
"Premium Perfume 7",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for tho",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4",10,true,false
"Premium Perfume 8",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for tho",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4",10,true,false
"Premium Perfume 9",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.","Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for tho",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg","/images/flowers/mixed/video of bouquet .mp4",10,true,false
"Wedding Wedding Bouquet 1",180000,"Elegant mixed wedding bouquet designed for your special day. Features premium flowers arranged in a romantic style. Customizable to match your wedding theme and personal preferences.","Elegant mixed wedding bouquet designed for your special day. Features premium flowers arranged in a romantic style. Customizable to match your wedding",wedding,mixed,Wedding Bouquet,"/images/wedding/wedding while.jpg","",10,true,false
